temp,tempmax,precip,Conditions,label
82,89,0.19,"Rain , Thunderstorm",Wet
78,83,1.34,"Fog , Rain , Thunderstorm",Wet
81,89,2.66,"Fog , Rain , Thunderstorm",Wet
82,90,0.0,Thunderstorm,Hot
78,84,1.09,"Fog , Rain , Thunderstorm",Wet
78,83,0.49,"Fog , Rain , Thunderstorm",Wet
79,86,0.93,"Fog , Rain , Thunderstorm",Wet
81,89,0.0, ,Hot
84,92,0.0,Thunderstorm,Hot
83,92,0.0, ,Hot
83,93,0.0, ,Hot
85,93,0.0, ,Hot
83,91,0.01,"Rain , Thunderstorm",Hot
82,91,0.08,"Rain , Thunderstorm",Hot
84,93,0.0, ,Hot
84,94,0.75,"Fog , Rain , Thunderstorm",Wet
81,91,0.0,Rain,Hot
81,91,0.0, ,Hot
84,91,0.0, ,Hot
84,92,0.0, ,Hot
84,91,0.0, ,Hot
84,91,0.0, ,Hot
85,91,0.0, ,Hot
85,91,0.0, ,Hot
85,93,0.0, ,Hot
84,94,0.0, ,Hot
83,93,0.0, ,Hot
84,94,0.0, ,Hot
86,96,0.0, ,Hot
86,97,0.0, ,Hot
85,95,0.0, ,Hot
85,95,0.0, ,Hot
86,96,0.0, ,Hot
88,98,0.0, ,Hot
87,97,0.0, ,Hot
86,97,0.0, ,Hot
86,97,0.0, ,Hot
87,97,0.0, ,Hot
88,99,0.0, ,Hot
88,99,0.0, ,Hot
87,98,0.0, ,Hot
87,98,0.0, ,Hot
89,100,0.0, ,Hot
89,100,0.0, ,Hot
89,101,0.0, ,Hot
88,101,0.0, ,Hot
90,102,0.0, ,Hot
86,99,0.0, ,Hot
88,100,0.0, ,Hot
87,99,0.0, ,Hot
89,100,0.0, ,Hot
90,101,0.0, ,Hot
90,102,0.0, ,Hot
89,101,0.0, ,Hot
90,103,0.0, ,Hot
89,103,0.0, ,Hot
90,105,0.0, ,Hot
90,105,0.0, ,Hot
92,105,0.0, ,Hot
91,104,0.0, ,Hot
90,101,0.0, ,Hot
89,98,0.0,Thunderstorm,Hot
87,98,0.0, ,Hot
86,98,0.0, ,Hot
88,99,0.0, ,Hot
89,99,0.0, ,Hot
79,84,0.35,"Rain , Thunderstorm",Wet
82,92,0.0,Rain,Hot
87,99,0.0, ,Hot
89,101,0.0, ,Hot
89,101,0.0, ,Hot
89,101,0.0, ,Hot
86,98,0.0, ,Hot
86,98,0.0, ,Hot
85,98,0.0, ,Hot
83,95,0.0, ,Hot
86,96,0.0, ,Hot
86,97,0.0, ,Hot
84,94,0.0, ,Hot
83,95,0.0, ,Hot
84,94,0.0, ,Hot
88,100,0.0, ,Hot
90,101,0.01, ,Hot
88,100,0.0, ,Hot
88,100,0.0, ,Hot
88,99,0.0, ,Hot
84,93,1.05,"Rain , Thunderstorm",Wet
84,96,0.79,"Fog , Rain , Thunderstorm",Wet
84,93,0.0, ,Hot
80,91,0.0, ,Hot
77,91,0.0, ,Mild
77,90,0.0, ,Mild
84,95,0.0, ,Hot
84,93,0.04,Rain,Hot
86,96,0.0, ,Hot
86,96,0.0, ,Hot
85,96,0.0, ,Hot
82,95,0.0, ,Hot
84,95,0.0, ,Hot
84,97,0.0, ,Hot
81,94,0.0, ,Hot
82,95,0.0, ,Hot
84,96,0.0,"Rain , Thunderstorm",Hot
82,95,0.0, ,Hot
81,95,0.0, ,Hot
79,89,0.0, ,Mild
81,94,0.0, ,Hot
83,95,0.0, ,Hot
82,94,0.0, ,Hot
78,89,0.0, ,Mild
72,87,0.0, ,Mild
73,87,0.0, ,Mild
76,85,0.0, ,Mild
77,90,0.0, ,Mild
77,91,0.0, ,Mild
80,91,0.0, ,Hot
80,88,0.0, ,Hot
79,90,0.0, ,Mild
80,95,0.0, ,Hot
86,99,0.0, ,Hot
79,94,0.0, ,Mild
78,96,0.0, ,Mild
79,95,0.0, ,Mild
76,90,0.0, ,Mild
75,88,0.0, ,Mild
71,84,0.0, ,Mild
70,86,0.0, ,Mild
73,87,0.0, ,Mild
79,86,0.0,Rain,Mild
76,82,0.16,Rain,Wet
76,80,0.43,"Rain , Thunderstorm",Wet
68,76,4.79,Rain,Wet
61,64,0.65,Rain,Wet
69,79,0.0, ,Mild
71,84,0.0, ,Mild
70,82,0.0, ,Mild
66,81,0.0, ,Mild
71,75,4.93,"Fog , Rain , Thunderstorm",Wet
71,77,0.89,"Rain , Thunderstorm",Wet
67,75,0.07,Rain,Mild
68,79,0.0,Fog,Mild
69,80,0.0,Fog,Mild
70,78,0.0,Rain,Mild
79,85,0.05,"Rain , Thunderstorm",Mild
68,76,0.02,Rain,Mild
60,63,0.53,"Fog , Rain",Wet
62,71,0.0, ,Mild
63,73,0.0, ,Mild
67,74,0.0, ,Mild
77,85,0.0, ,Mild
64,71,0.0, ,Mild
61,65,0.0, ,Mild
60,65,0.01,Rain,Mild
62,70,0.0, ,Mild
70,75,0.01,Rain,Mild
61,75,1.03,Rain,Wet
58,72,0.0, ,Mild
63,79,0.0, ,Mild
65,77,0.0, ,Mild
54,66,0.0, ,Mild
